epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.969399,3.38509,9.79551,2.9943,0,0,0,0,2.67122,11.031,3.17073,0.099005,5e-06,5e-06
2,1.66369,3.46622,8.80551,3.11061,0,0,0,0,2.72902,10.2656,3.14099,0.0970149,1.49257e-05,1.49257e-05
3,2.30956,3.43333,11.7655,3.14772,0,0,0,0,2.6599,11.1266,3.09539,0.0950248,2.47525e-05,2.47525e-05
4,2.95348,2.94965,12.3614,3.0941,0,0,0,0,2.61366,13.0468,3.06522,0.0930345,3.44802e-05,3.44802e-05
5,3.56638,3.41984,10.9777,2.989,0,0,0,0,2.5275,13.49,3.06485,0.0910441,4.4109e-05,4.4109e-05
6,4.19381,3.4681,9.63065,3.05046,0,0,0,0,2.37538,12.6351,3.06145,0.0890536,5.36388e-05,5.36388e-05
7,4.80803,2.98081,10.3171,3.08587,0,0,0,0,2.47145,12.1281,3.05906,0.0870631,6.30695e-05,6.30695e-05
8,5.59266,3.52118,10.7827,3.17686,0.0025,0.75,0.00454,0.00119,2.15695,5.53281,2.46952,0.0850724,7.24012e-05,7.24012e-05
9,6.58257,2.4,6.03477,2.45329,0.00083,0.25,0.06157,0.02463,2.09237,6.12906,2.14414,0.0830816,8.1634e-05,8.1634e-05
10,7.62966,2.55743,4.21597,2.28604,0.01153,0.25,0.2528,0.12543,2.19512,11.9509,2.34725,0.0810908,9.07677e-05,9.07677e-05
11,8.64045,2.10354,2.89258,1.93149,0.28564,0.25,0.26304,0.17747,2.35249,28.7071,2.48187,0.0790998,9.98025e-05,9.98025e-05
12,9.62532,1.98051,3.52393,2.09911,0.28564,0.25,0.26304,0.17747,2.35249,28.7071,2.48187,0.0771087,0.000108738,0.000108738
13,10.6273,1.66708,2.89168,1.62878,0.02705,0.75,0.27556,0.179,2.55604,23.8515,2.51084,0.0751176,0.000117575,0.000117575
14,11.6432,1.57476,3.23026,1.58182,0.00333,1,0.16708,0.07773,2.27699,13.5462,2.36271,0.0731263,0.000126313,0.000126313
15,12.5076,1.78509,2.99603,1.73856,0.00333,1,0.16708,0.07773,2.27699,13.5462,2.36271,0.071135,0.000134952,0.000134952
16,13.3973,1.37398,2.31887,1.6331,0.65887,0.25,0.47117,0.25199,1.90365,10.6564,2.13981,0.0691435,0.000143491,0.000143491
17,14.5765,1.49095,1.95558,1.56514,1,0.49169,0.60413,0.37952,1.67801,7.50534,2.02131,0.0671519,0.000151932,0.000151932
18,15.5547,1.59206,2.11556,1.62423,1,0.49169,0.60413,0.37952,1.67801,7.50534,2.02131,0.0651603,0.000160274,0.000160274
19,16.5433,1.68682,2.27782,1.52264,1,0.66762,0.8075,0.51429,1.49827,3.03277,1.88013,0.0631685,0.000168517,0.000168517
20,17.5205,1.31007,1.25978,1.50597,1,0.66762,0.8075,0.51429,1.49827,3.03277,1.88013,0.0611767,0.00017666,0.00017666
21,18.5101,1.31537,1.72725,1.62491,1,0.4579,0.745,0.48659,1.50816,2.42231,1.83115,0.0591847,0.000184705,0.000184705
22,19.3631,1.26512,2.05541,1.39414,1,0.4579,0.745,0.48659,1.50816,2.42231,1.83115,0.0571927,0.000192651,0.000192651
23,20.2402,1.37367,2.00944,1.46265,1,0.47233,0.63042,0.4278,1.3674,2.29385,1.68896,0.0552005,0.000200498,0.000200498
24,21.0882,1.38713,1.25057,1.42203,1,0.47233,0.63042,0.4278,1.3674,2.29385,1.68896,0.0532082,0.000208245,0.000208245
25,22.0876,1.12454,1.29176,1.27101,1,0.48902,0.65226,0.40361,1.38995,1.71045,1.76963,0.0512159,0.000215894,0.000215894
26,22.9397,1.16212,1.91381,1.37897,1,0.48902,0.65226,0.40361,1.38995,1.71045,1.76963,0.0492234,0.000223444,0.000223444
27,23.7806,1.26782,1.7717,1.40917,1,0.48902,0.65226,0.40361,1.38995,1.71045,1.76963,0.0472309,0.000230894,0.000230894
28,24.6565,1.25417,1.56998,1.38501,0.96158,0.5,0.62714,0.34313,1.38152,2.14226,1.75452,0.0452382,0.000238246,0.000238246
29,25.5138,1.25977,1.15056,1.35678,0.96158,0.5,0.62714,0.34313,1.38152,2.14226,1.75452,0.0432455,0.000245499,0.000245499
30,26.3971,1.21261,1.50175,1.21713,0.97498,0.5,0.60394,0.26862,1.43255,1.97419,1.83546,0.0412527,0.000252653,0.000252653
31,27.2469,1.12046,1.63644,1.39141,0.97498,0.5,0.60394,0.26862,1.43255,1.97419,1.83546,0.0392597,0.000259708,0.000259708
32,28.1001,1.15273,1.9048,1.44742,0.97498,0.5,0.60394,0.26862,1.43255,1.97419,1.83546,0.0372667,0.000266663,0.000266663
33,29.1111,1.206,1.77463,1.41647,0.96313,0.5,0.6463,0.29115,1.48039,2.00422,1.83291,0.0352735,0.00027352,0.00027352
34,29.9677,1.13562,1.45977,1.38715,0.96313,0.5,0.6463,0.29115,1.48039,2.00422,1.83291,0.0332803,0.000280278,0.000280278
35,30.8118,1.17031,1.42036,1.32784,0.96313,0.5,0.6463,0.29115,1.48039,2.00422,1.83291,0.0312869,0.000286937,0.000286937
36,31.6818,1.21735,1.26759,1.30274,0.96036,0.5,0.65426,0.32084,1.30479,1.56694,1.65031,0.0292935,0.000293496,0.000293496
37,32.5478,1.10376,0.92829,1.38617,0.96036,0.5,0.65426,0.32084,1.30479,1.56694,1.65031,0.0273,0.000299957,0.000299957
38,33.4156,1.41301,1.17329,1.45308,0.96036,0.5,0.65426,0.32084,1.30479,1.56694,1.65031,0.0253063,0.000306319,0.000306319
39,34.2945,1.04991,1.15111,1.49803,1,0.70374,0.81643,0.52178,1.22361,1.27236,1.47711,0.0233126,0.000312582,0.000312582
40,35.4145,1.07127,1.20675,1.40344,1,0.70374,0.81643,0.52178,1.22361,1.27236,1.47711,0.0213187,0.000318745,0.000318745
41,36.378,1.06913,1.30372,1.31888,1,0.70374,0.81643,0.52178,1.22361,1.27236,1.47711,0.0193248,0.00032481,0.00032481
42,37.3807,1.16302,1.20772,1.28678,1,0.74612,0.88786,0.59301,1.1664,1.01276,1.50361,0.0173308,0.000330776,0.000330776
43,38.3396,0.98055,0.8493,1.2764,1,0.74612,0.88786,0.59301,1.1664,1.01276,1.50361,0.0153366,0.000336643,0.000336643
44,39.2981,0.95286,0.9457,1.22958,1,0.74612,0.88786,0.59301,1.1664,1.01276,1.50361,0.0133424,0.00034241,0.00034241
45,40.2614,1.01888,0.81807,1.29653,1,0.74612,0.88786,0.59301,1.1664,1.01276,1.50361,0.0113481,0.000348079,0.000348079
46,41.2625,1.36845,0.90449,1.4266,0.74239,0.75,0.8075,0.39508,1.47427,1.17242,1.69351,0.00935365,0.000353649,0.000353649
47,42.1145,1.22527,0.90341,1.29032,0.74239,0.75,0.8075,0.39508,1.47427,1.17242,1.69351,0.00735912,0.00035912,0.00035912
48,43.1144,1.26138,1.02586,1.33502,0.74239,0.75,0.8075,0.39508,1.47427,1.17242,1.69351,0.00536449,0.000364491,0.000364491
49,43.9572,1.30103,1.05959,1.51657,0.74239,0.75,0.8075,0.39508,1.47427,1.17242,1.69351,0.00336976,0.000369764,0.000369764
50,44.8335,1.19232,0.8036,1.31198,0.48048,0.75,0.64778,0.43712,1.23954,1.1696,1.67768,0.00137494,0.000374938,0.000374938
51,45.6804,1.00143,0.67258,1.18979,0.48048,0.75,0.64778,0.43712,1.23954,1.1696,1.67768,0.00037625,0.00037625,0.00037625
52,46.5421,1.06054,0.89501,1.32482,0.48048,0.75,0.64778,0.43712,1.23954,1.1696,1.67768,0.000373775,0.000373775,0.000373775
53,47.3955,0.98421,0.75869,1.13681,0.48048,0.75,0.64778,0.43712,1.23954,1.1696,1.67768,0.0003713,0.0003713,0.0003713
54,48.2705,1.04482,0.84416,1.35538,1,0.95258,0.995,0.60999,1.2545,0.98542,1.80067,0.000368825,0.000368825,0.000368825
55,49.2278,1.26092,0.95787,1.59052,1,0.95258,0.995,0.60999,1.2545,0.98542,1.80067,0.00036635,0.00036635,0.00036635
56,50.18,1.03881,0.87156,1.28189,1,0.95258,0.995,0.60999,1.2545,0.98542,1.80067,0.000363875,0.000363875,0.000363875
57,51.1475,1.01063,0.81657,1.31791,1,0.95258,0.995,0.60999,1.2545,0.98542,1.80067,0.0003614,0.0003614,0.0003614
58,52.2822,1.01196,1.07846,1.30766,0.99169,1,0.995,0.64183,1.24724,0.78588,1.57665,0.000358925,0.000358925,0.000358925
59,53.2465,1.28165,0.95055,1.37878,0.99169,1,0.995,0.64183,1.24724,0.78588,1.57665,0.00035645,0.00035645,0.00035645
60,54.231,1.2346,0.82089,1.2879,0.99169,1,0.995,0.64183,1.24724,0.78588,1.57665,0.000353975,0.000353975,0.000353975
61,55.1872,1.28813,0.95469,1.54033,0.99169,1,0.995,0.64183,1.24724,0.78588,1.57665,0.0003515,0.0003515,0.0003515
62,56.1756,1.12043,1.00354,1.25354,1,0.98397,0.995,0.56549,1.48671,0.95406,1.79343,0.000349025,0.000349025,0.000349025
63,57.0414,1.33324,1.08054,1.36848,1,0.98397,0.995,0.56549,1.48671,0.95406,1.79343,0.00034655,0.00034655,0.00034655
64,57.8986,0.94591,1.02235,1.27516,1,0.98397,0.995,0.56549,1.48671,0.95406,1.79343,0.000344075,0.000344075,0.000344075
65,58.7548,1.01834,1.40008,1.41552,1,0.98397,0.995,0.56549,1.48671,0.95406,1.79343,0.0003416,0.0003416,0.0003416
66,59.7752,1.39606,1.22941,1.67038,0.79842,0.9921,0.945,0.44475,1.68212,0.99205,2.11871,0.000339125,0.000339125,0.000339125
67,60.6156,0.95741,0.65894,1.22878,0.79842,0.9921,0.945,0.44475,1.68212,0.99205,2.11871,0.00033665,0.00033665,0.00033665
68,61.4637,1.14896,0.72448,1.49232,0.79842,0.9921,0.945,0.44475,1.68212,0.99205,2.11871,0.000334175,0.000334175,0.000334175
69,62.3139,1.06951,0.86167,1.24196,0.79842,0.9921,0.945,0.44475,1.68212,0.99205,2.11871,0.0003317,0.0003317,0.0003317
70,63.1962,1.06229,0.76847,1.26403,1,0.98523,0.995,0.58819,1.49357,1.00397,1.94207,0.000329225,0.000329225,0.000329225
