epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.850892,4.45804,8.40071,3.29477,0,0,0,0,3.74013,10.1295,2.94394,2e-05,2e-05,2e-05
2,1.20909,4.17948,8.31679,3.03545,0,0,0,0,3.07034,10.9069,2.76559,5.8812e-05,5.8812e-05,5.8812e-05
3,1.52325,4.08575,9.34703,2.99072,0,0,0,0,3.40797,9.25776,2.89565,9.604e-05,9.604e-05,9.604e-05
4,1.83376,3.81932,9.93662,2.61634,0,0,0,0,3.24794,9.16141,2.74317,0.000131684,0.000131684,0.000131684
5,2.12525,4.64415,10.5595,2.9663,0,0,0,0,2.86784,9.76368,2.6363,0.000165744,0.000165744,0.000165744
6,2.41341,4.09248,8.28415,2.81792,0,0,0,0,2.88505,9.57674,2.73937,0.00019822,0.00019822,0.00019822
7,2.72643,3.74702,9.50432,2.82123,0,0,0,0,3.43773,7.69194,2.58537,0.000229112,0.000229112,0.000229112
8,3.10061,3.26029,7.43719,2.05986,0,0,0,0,3.23969,7.1387,2.68,0.00025842,0.00025842,0.00025842
9,3.4852,2.93039,7.39347,1.74473,0,0,0,0,2.15797,6.67429,2.21853,0.000286144,0.000286144,0.000286144
10,3.86676,2.45713,5.25279,1.41019,0,0,0,0,1.96146,5.34632,1.91682,0.000312284,0.000312284,0.000312284
11,4.25416,2.00758,4.40767,1.24843,0.0025,0.75,0.02945,0.01732,1.52421,4.26823,1.20936,0.00033684,0.00033684,0.00033684
12,4.61742,1.69425,4.30748,1.08752,0.0025,0.75,0.02945,0.01732,1.52421,4.26823,1.20936,0.000359812,0.000359812,0.000359812
13,5.00684,1.98277,4.23775,1.17062,0.00333,1,0.36699,0.13898,1.52413,4.09121,1.13468,0.0003812,0.0003812,0.0003812
14,5.38447,1.78034,4.12184,1.1068,0.00333,1,0.34237,0.1091,1.57843,4.13623,1.16138,0.000401004,0.000401004,0.000401004
