epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.72329,3.61513,30.7333,2.78172,0.00083,0.25,0.00056,6e-05,3.30075,31.2097,2.73215,0.1,0,0
2,1.04295,3.64733,46.1635,3.01962,0.00083,0.25,0.00057,6e-05,3.34784,32.2626,2.7415,0.0990079,7.9208e-06,7.9208e-06
3,1.42326,3.35466,38.2868,2.56956,0.00083,0.25,0.00056,6e-05,3.33983,32.3304,2.74411,0.0980157,1.56832e-05,1.56832e-05
4,1.72861,3.6786,35.4088,2.87536,0.00083,0.25,0.00056,6e-05,3.25425,32.7368,2.72164,0.0970233,2.32872e-05,2.32872e-05
5,2.03467,3.73894,42.2815,2.97949,0.00083,0.25,0.00055,6e-05,3.1992,32.0161,2.7068,0.0960307,3.07328e-05,3.07328e-05
6,2.34806,3.46729,50.0436,2.84648,0.00083,0.25,0.00055,5e-05,3.14801,31.7431,2.69896,0.095038,3.802e-05,3.802e-05
7,2.64334,2.86748,41.0963,2.68536,0.00083,0.25,0.00054,5e-05,3.08024,30.9651,2.68489,0.0940451,4.51488e-05,4.51488e-05
8,2.9469,3.9116,48.8571,3.13673,0.00083,0.25,0.00053,0.00011,3.02892,30.536,2.68805,0.0930521,5.21192e-05,5.21192e-05
9,3.25892,3.10405,35.2166,2.4394,0.00083,0.25,0.00053,0.00011,3.00023,31.654,2.68887,0.0920589,5.89312e-05,5.89312e-05
10,3.57914,3.48799,43.222,2.8947,0.00083,0.25,0.00052,0.0001,2.97075,33.2916,2.69522,0.0910656,6.55848e-05,6.55848e-05
11,3.88406,3.89986,44.2617,2.90986,0.00083,0.25,0.00052,0.0001,2.96876,35.3811,2.70248,0.0900721,7.208e-05,7.208e-05
12,4.18634,3.62769,42.5084,2.8682,0,0,0,0,2.97572,34.2478,2.71313,0.0890784,7.84168e-05,7.84168e-05
13,4.51038,3.75212,29.9401,2.81916,0.0025,0.75,0.00261,0.00084,2.14228,10.0604,2.6754,0.0880846,8.45952e-05,8.45952e-05
14,5.20713,3.1023,19.1146,2.25381,0,0,0,0,2.11255,8.92231,3.08546,0.0870906,9.06152e-05,9.06152e-05
15,5.67589,2.66129,9.82162,2.02372,0.00083,0.25,0.00055,5e-05,2.40119,8.08897,3.27068,0.0860965,9.64768e-05,9.64768e-05
16,6.12709,2.23849,8.1403,2.15552,0,0,0,0,2.65862,8.11432,3.30672,0.0851022,0.00010218,0.00010218
17,6.6226,2.05655,5.75504,1.94677,0,0,0,0,2.63062,6.05545,3.22883,0.0841077,0.000107725,0.000107725
18,7.07022,2.36797,4.50518,1.82487,0,0,0,0,2.63062,6.05545,3.22883,0.0831131,0.000113111,0.000113111
